"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" "," ","","",""
"Jahmyr Gibbs","DET","RB1","274.4","1,381.0","13.8","70.9","580.3","4.1","1.1","337.1"
"Bijan Robinson","ATL","RB2","289.6","1,427.4","9.5","79.6","736.7","3.5","1.8","330.2"
"Christian McCaffrey","SF","RB3","270.9","1,099.4","9.2","76.0","668.5","4.6","1.1","295.5"
"Jonathan Taylor","IND","RB4","327.4","1,509.8","12.9","45.1","338.2","1.5","1.7","289.9"
"Puka Nacua","LAR","WR1","13.6","85.0","1.4","117.0","1,539.0","9.0","1.0","281.3"
"Ja'Marr Chase","CIN","WR2","3.0","17.0","0.0","121.2","1,510.4","10.6","1.0","275.0"
"Jaxon Smith-Njigba","SEA","WR3","5.5","30.4","0.1","110.9","1,568.4","9.2","1.1","268.6"
"Derrick Henry","BAL","RB5","314.0","1,568.7","13.4","17.8","172.2","0.7","1.7","264.2"
"Amon-Ra St. Brown","DET","WR4","3.1","11.8","0.0","117.0","1,390.5","10.5","0.4","261.0"
"De'Von Achane","MIA","RB6","237.9","1,197.5","6.0","65.3","490.6","4.0","1.0","259.3"
"James Cook III","BUF","RB7","287.3","1,403.5","10.3","33.3","281.7","1.9","2.4","253.6"
"Ashton Jeanty","LV","RB8","281.4","1,107.2","8.0","58.7","414.2","3.3","1.1","247.5"
"Chase Brown","CIN","RB9","239.4","1,040.5","7.5","64.4","430.2","3.9","1.1","245.5"
"Saquon Barkley","PHI","RB10","295.9","1,311.3","8.2","41.7","330.4","2.1","1.0","245.0"
"Josh Jacobs","GB","RB11","288.8","1,161.3","12.0","35.7","283.6","1.2","1.3","239.1"
"Drake London","ATL","WR5","0.0","0.0","0.0","101.7","1,328.9","9.4","1.0","238.4"
"Omarion Hampton","LAC","RB12","249.1","1,072.9","10.0","51.6","352.8","2.0","1.1","237.8"
"Breece Hall","NYJ","RB13","259.3","1,159.7","6.5","47.4","411.3","2.2","1.7","229.9"
"Kenneth Walker III","KC","RB14","255.7","1,158.1","8.3","45.1","347.1","1.2","0.9","228.6"
"Jeremiyah Love","ARI","RB15","238.3","1,078.7","7.2","54.4","419.3","2.1","2.2","228.5"
"CeeDee Lamb","DAL","WR6","2.4","12.5","0.0","97.6","1,297.3","7.5","0.3","224.5"
"Rashee Rice","KC","WR7","5.4","25.5","0.9","98.8","1,099.0","9.7","0.6","224.0"
"Kyren Williams","LAR","RB16","240.2","1,118.1","10.1","33.5","239.6","2.2","1.5","223.1"
"Cam Skattebo","NYG","RB17","243.4","1,015.7","8.1","45.8","364.0","2.5","1.6","221.5"
"Justin Jefferson","MIN","WR8","1.3","5.5","0.0","98.6","1,302.2","6.8","0.3","220.3"
"Javonte Williams","DAL","RB18","255.5","1,157.4","10.4","33.0","192.1","1.2","1.6","217.5"
"A.J. Brown","NE","WR9","0.0","0.0","0.0","88.7","1,234.4","7.6","0.3","213.1"
"George Pickens","DAL","WR10","0.3","-0.3","0.0","82.7","1,202.1","8.4","0.5","210.9"
"Chris Olave","NO","WR11","0.3","0.0","0.0","94.2","1,169.2","7.8","0.3","210.3"
"Travis Etienne Jr.","NO","RB19","244.6","1,036.3","5.4","44.9","351.2","3.0","1.0","209.5"
"Nico Collins","HOU","WR12","1.4","8.3","0.4","82.5","1,212.5","7.2","0.8","207.2"
"D'Andre Swift","CHI","RB20","233.1","1,053.1","8.1","34.8","299.9","1.0","1.0","205.3"
"Bucky Irving","TB","RB21","256.5","1,020.9","6.1","39.9","336.2","2.3","1.0","203.9"
"Zay Flowers","BAL","WR13","9.9","58.8","0.5","81.9","1,168.3","6.5","1.5","202.6"
"Trey McBride","ARI","TE1","0.0","0.0","0.0","109.0","1,050.6","6.8","0.2","199.8"
"Quinshon Judkins","CLE","RB22","289.4","1,104.8","8.1","31.3","218.3","0.6","0.9","198.1"
"Brock Bowers","LV","TE2","0.0","0.0","0.0","96.5","1,025.0","7.5","0.2","195.5"
"Garrett Wilson","NYJ","WR14","1.1","4.3","0.0","96.4","1,090.2","6.4","1.0","194.0"
"Bhayshul Tuten","JAC","RB23","243.0","992.5","8.2","29.2","221.6","2.1","2.2","193.8"
"DeVonta Smith","PHI","WR15","0.0","0.0","0.0","87.8","1,134.8","6.0","0.3","192.8"
"Malik Nabers","NYG","WR16","2.7","7.9","0.0","78.5","1,047.2","8.0","0.4","192.0"
"Emeka Egbuka","TB","WR17","1.4","7.3","0.0","72.9","1,097.1","7.5","0.3","191.5"
"Tetairoa McMillan","CAR","WR18","0.0","0.0","0.0","78.5","1,125.1","6.4","0.9","188.5"
"Davante Adams","LAR","WR19","0.0","0.0","0.0","68.5","926.1","10.2","0.2","187.8"
"Tee Higgins","CIN","WR20","0.0","0.0","0.0","70.7","964.8","9.1","0.2","186.0"
"Jameson Williams","DET","WR21","7.3","42.0","0.5","64.4","1,065.0","6.6","0.2","185.1"
"TreVeyon Henderson","NE","RB24","190.1","885.9","7.3","37.7","261.5","1.2","0.9","182.7"
"Terry McLaurin","WAS","WR22","0.3","0.3","0.0","71.4","980.5","7.6","0.3","178.5"
"Rome Odunze","CHI","WR23","0.3","1.3","0.0","63.4","980.1","8.1","0.3","178.1"
"David Montgomery","HOU","RB25","225.5","936.6","7.3","30.5","226.2","0.5","1.0","176.7"
"Alec Pierce","IND","WR24","0.0","0.0","0.0","63.8","1,049.7","6.5","0.3","175.5"
"Tony Pollard","TEN","RB26","238.8","1,045.3","5.9","31.9","207.7","0.5","2.1","175.1"
"Jadarian Price","SEA","RB27","215.2","912.2","7.6","26.0","220.1","1.1","2.0","174.5"
"Ladd McConkey","LAC","WR25","0.0","0.0","0.0","76.9","977.3","6.4","0.3","174.1"
"DJ Moore","BUF","WR26","10.3","54.0","0.5","69.1","899.6","7.0","0.8","173.1"
"Jaylen Waddle","DEN","WR27","1.7","12.4","0.0","74.6","983.7","6.0","0.3","172.4"
"Luther Burden III","CHI","WR28","7.7","38.2","0.1","72.7","972.9","5.7","0.3","171.7"
"Jaylen Warren","PIT","RB28","188.0","825.9","4.8","42.0","320.6","1.5","0.9","171.6"
"Colston Loveland","CHI","TE3","0.0","0.0","0.0","78.1","916.0","6.7","0.2","170.2"
"Rico Dowdle","PIT","RB29","206.6","899.4","6.2","32.1","225.7","1.0","1.0","169.7"
"Courtland Sutton","DEN","WR29","0.0","0.0","0.0","69.4","902.9","7.5","0.2","169.7"
"Chuba Hubbard","CAR","RB30","207.0","834.2","5.4","36.4","260.4","1.8","1.4","168.2"
"Rhamondre Stevenson","NE","RB31","168.8","733.6","6.5","36.8","309.8","1.6","2.1","167.5"
"Mike Evans","SF","WR30","0.0","0.0","0.0","65.1","916.8","6.7","0.2","163.9"
"Marvin Harrison Jr.","ARI","WR31","0.0","0.0","0.0","67.3","944.9","6.0","0.3","163.6"
"Christian Watson","GB","WR32","1.7","8.0","0.0","56.0","901.0","7.4","0.3","162.8"
"DK Metcalf","PIT","WR33","0.7","3.3","0.3","64.2","923.5","6.1","0.2","162.6"
"J.K. Dobbins","DEN","RB32","218.2","1,021.1","6.6","17.7","94.3","0.6","0.7","161.8"
"Tyler Warren","IND","TE4","0.0","0.0","0.0","82.7","871.3","5.4","0.3","160.5"
"Kyle Pitts Sr.","ATL","TE5","0.0","0.0","0.0","79.5","881.6","4.7","0.1","156.0"
"RJ Harvey","DEN","RB33","130.5","495.7","4.6","46.6","343.9","3.5","0.8","154.6"
"Harold Fannin Jr.","CLE","TE6","0.0","0.0","0.0","78.3","815.1","5.4","0.8","151.4"
"Jakobi Meyers","JAC","WR34","4.7","23.0","0.1","70.6","814.5","5.4","0.8","150.4"
"Michael Pittman Jr.","PIT","WR35","0.0","0.0","0.0","80.5","803.4","5.0","0.3","149.7"
"Parker Washington","JAC","WR36","5.3","13.6","0.1","60.9","843.6","5.4","0.4","148.2"
"Carnell Tate","TEN","WR37","0.7","3.0","0.0","66.3","902.7","4.5","1.4","148.2"
"Sam LaPorta","DET","TE7","0.0","0.0","0.0","69.8","809.4","5.5","0.2","148.2"
"Rachaad White","WAS","RB34","139.9","618.2","5.4","38.9","262.7","1.6","0.8","147.8"
"Aaron Jones Sr.","MIN","RB35","160.0","682.2","3.6","41.0","303.4","1.7","1.6","147.5"
"Brian Thomas Jr.","JAC","WR38","2.7","18.0","0.4","55.7","837.7","5.3","0.2","147.5"
"Wan'Dale Robinson","TEN","WR39","2.0","9.5","0.1","83.0","833.8","3.6","0.3","147.4"
